aaaaa,
aaah,
abis,habis
adu,aduh
ae,saja
acc,akun
account,akun
access,akses
adekku,adikku
adminsaya,saya
ahirnya,akhirnya
adu,aduh
adminduk,
after,setelah
agam,
aj,saja
ajaa,saja
ajabudh,saja
ajah,saja
aje,saja
ajesiiih,saja sih
akn,
always,selalu
also,juga
aju,
akas,
aktifmohon,aktif mohon
aktifin,aktif
akusih,aku sih
alfamaret,alfamart
ama,sama
an,
and,dan
ane,saya
anginanginan,
anjeng,anjing
anying,
anjir,
antri,antre
ap,apa
apain,
ape,apa
apknya,aplikasi
apliaksi,aplikasi
aplikadi,aplikasi
apk,aplikasi
applikasi,aplikasi
aplikas,aplikasi
aps,aplikasi
app,aplikasi
applikasinya,aplikasi
apps,aplikasi
apple,apel
arya,
appstore,app store
appsnya,aplikasi
atuh,
audebet,otomatis debet
auto,otomatis
autodebet,otomatis debet
autodebitterus,otomatis debet terus
autodebitnya,otomatis debetnya
autodebit,otomatis debet
autologout,otomatis keluar
askes,faskes
awai,awal
ancokkk,
anter,antar
atik,
asih,
atmin,
ato,
asn,
azhari,
atuh,
ayok,ayo
background,latar belakang
baharu,baru
balasantelfon,balasan telepon
bangetttt,sangat
bangsat,
banget,sangat
bantuanbiar,bantuan agar
banyakgmn,banyak bagaimana
barusan,baru saja
banking,bank
bantuansy,bantuan saya
bantuanutk,bantuan untuk
barcode,kode batang
bantuin,bantu
bcs,karena
bego,bodoh
berlaga,berlagak
bas,
bat,
bang,abang
batman,
bayik,bayi
bbrp,beberapa
be,
beb,
bgttt,sangat
boong,bohong
boroboro,jangankan
blum,belum
blom,belum
bln,bulan
beberapq,beberapa
bener,benar
biir,
beneran,benar
berword,berkata
benerin,benar
bereees,selesai
beres,selesai
beress,selesai
bengsin,minyak
berhasilsdh,berhasil sudah
berkalikali,berkali-kali
berobatperiksacek,berobat periksa cek
bet,sangat
bgitu,seperti 
bgt,sangat
bgtsakit,sangat sakit
bisaa,bisa
bisabisa,bisa
bima,
biar,agar
bisaerror,bisa eror
blablabla,
blank,kosong
blend,campur
blg,bilang
blm,belum
bnyk,banyak
bojs,bpjs
book,pesan
booking,pesan
bot,robot
bpjsan,bpjs
bpjsmu,bpjs kamu
bpjssy,bpjs saya
bpjssedang,bpjs sedang
bpjssaat,bpjs saat
bpjsku,bpjs saya
bpjskes,bpjs kesehatan
brok,
broooot,
bridging,
bru,baru
buat,untuk
bumil,ibu hamil
button,tombol
byar,bayar
byr,bayar
bs,bisa
bsa,bisa
btw,omong-omong
bu,ibu
bucet,buset
bug,eror
buldep,bulan depan
bungo,
by,oleh
cachenya,cache
call,telepon
cape,capek
capedeh,capek
captca,captcha
captchanya,captcha
captha,captcha
catpchanya,captcha
cej,cek
center,pusat
check,periksa
cmiiw,
cnbc,
cuss,
cuih,
contract,kontrak
contains,mengandung
cepet,cepat
checkin,periksa
carecenter,pusat pelayanan
clear,hapus
cb,coba
cah,
chat,pesan
card,kartu
corner,sudut
connect,menghubungkan
cobain,coba
cm,cuma
code,kode
copynya,kopi
covidnya,covid
cs,customer service
cuman,cuma
cuy,
da,udah
daftarin,daftarkan
dah,udah
dalem,dalam
dander,
dapetgaada,dapat tidak ada
dg,
dar,
dapet,dapat
daritadi,dari tadi
dateng,datang
desc,deskripsi
device,perangkat
debit,debet
deh,
deko,
desc,deskripsi
dftar,daftar
dgn,dengan
diagnosis,diagnosa
diagnosanya,diagnosa
diaktifin,diaktifkan
dipencetpencet,klik
ditgl,tanggal
diupdate,ditingkatkan
dijualin,dijualkan
diurusinnya,diuruskannya
dibales,dibalas
dibatesin,dibataskan
dibayartagihan,bayar tagihan
dibukakl,dibuka
dibukatarkuncianang,
didaftarin,didaftarkan
digawe,kerja
dihape,ditelepon
diinstall,diunduh
dijlnkan,dijalankan
dikirimin,dikirimkan
dilogoutin,keluar
dinpersulit,dipersulit
dipake,dipakai
disaranin,disarankan
ditanggepin,tanggap
ditanyain,ditanyakan
dll,dan lain-lain
dl,dulu
dlm,dalam
dm,pesan
dom,domisili
dn,pesan
doan,saja
doang,saja
dongg,saja
dongitu,saja
dong,saja
donk,saja
donlod,unduh
donlot,unduh
donwload,unduh
down,eror
download,unduh
dpt,dapat
dr,dari
dri,dari
drigital,dari digital
drpd,dari pada
dtg,datang
drg,dokter gigi
dsana,disana
duit,uang
dtng,datang
duh,aduh
dwon,
easy,mudah
eh,
ehh,
eletronik,elektronik
eletroniknya,elektronik
emang,memang
emailno,email nomor
emg,memang
emng,memang
emosiiiiiii,emosi
ena,
engga,tidak
eta,
fakses,faskes
fb,
fc,
file,dokumen
fafifu,
engkok,
erir,eror
erorrrrrrrrrr,eror
error,eror
errorbnyak,eror banyak
errorkah,eror
faq,
faskesdokter,faskes dokter
faskesnya,faskes
fisio,
fiturnya,fitur
fotocopy,fotokopi
form,format
fuck,
finance,keuangan
full,penuh
fyi,sekedar informasi
ga,tidak
gaada,tidak ada
gabia,tidak bisa
gabisa,tidak bisa
gabisaaa,tidak bisa
gagalmsh,gagal masih
gaes,
gaissss,
gak,tidak
gamasuk,tidak masuk
gampaaang,mudah
gampang,mudah
gaperlu,tidak perlu
gangerti,tidak paham
gara,
gas,
gawe,kerja
gbs,tidak bisa
gede,besar
gegara,gara-gara
gempil,mudah
gembok ,kunci
ges,
ghoibnth,
gimana,bagaimana
gimaneeeew,bagaimana
gmana,bagaimana
gimanaaa,bagaimana
gosah,tidak usah
gausah,tidak usah
gatau,tidak tahu
gin,
gk,tidak
gmn,bagaimana
gapapa,tidak apa-apa
gmna,bagaimana
gapenting,tidak penting
gapernah,tidak pernah
gni,gini
good,bagus
googling,google
gpp,tidak apa apa
gradient,
gituin,gitu
gt,gitu
gtu,gitu
guys,
gwe,
gua,saya
gue,saya
gw,saya
hadeh,aduh
hadehhh,aduh
hadeuh,aduh
haduw,aduh
hai,halo
halaaahhhhhhhhhhh,
hallo,halo
handphone,telepon
halobisakah,halo bisakah
haloini,halo ini
haloo,halo
hello,halo
hape,telepon
hatur,
hihi,
ho,
holaaa,halo
history,riwayat
histori,riwayat
he,
health,sehat
healthy,sehat
heck,retas
help,tolong
helpp,tolong
hi,
hotline,saluran siaga
hr,
hmm,
hoooooo,
hp,telepon
hpnya,telepon
hrnya,
hrd,
hrus,harus
huhu,
hrdku,
hrs,harus
hub,hubung
huft,
huhuu,
hwhwhwhw,
ibuu,ibu
icon,ikon
idk,tidak tahu
ig,instagram
igd,instalasi gawat darurat
ignore,abai
ilang,hilang
iiii,
inu,ini
isiverifikasi,isi verifikasi
iso,bisa
is,
in,
it,itu
inisalam,ini salam
im,
ikutin,ikut
inget,ingat
instal,unduh
install,unduh
jal,
jare,
jauuuh,jauh
jauuuuuuh,jauh
jawap,jawab
jawatimur,jawa timur
jd,jadi
jdi,jadi
jelaas,jelas
jelass,jelas
jelasin,jelaskan
jg,juga
jgn,jangan
jknaku,jkn saya
jknkarena,jkn karena
jkndisebutkan,jkn disebutkan
jknkartunya,jkn kartunya
jknnanti,jkn nanti
jknakan,jkn akan
jkt,jakarta
jamjam,jam
jknemail,jkn email
jknkis,jkn kis
jawabanya,jawabannya
jknternyata,jkn nyata
jmo,
ju,
jugaa,juga
jugaknp,juga kenapa
ka,kakak
kaa,kakak
kaaa,kakak
kaga,tidak
kagak,tidak
kah,
kaakkk,kakak
kak,kakak
kaka,kakak
kaiaccess,kai akses
kalo,kalau
karenga,karena
karna,karena
kart,
kasi,kasih
kayak,seperti
katanye,katanya
keburu,buru buru
keditek,
kek,seperti
kekeuh,
kelamim,kelamin
kemaren,kemarin
kepake,pakai
kesel,kesal
ketemu ,temu
keterngan,keterangan
keaktivan,keaktifan
keteqng,keterangan
kc,
kk,kakak
klau,kalau
klo,kalau
klu,kalau
kek,seperti
km,kamu
kmana,kemana
kmrin,kemarin
kmrn,kemarin
keluhanketika,keluhan ketika
knp,kenapa
kelar,selesai
kelarkelar,selesai
knpa,kenapa
ko,
koq,
kpd,kepada
krn,karena
ksh,kasih
ktpbpjs,ktp bpjs
ku,
kwwkk,
kyk,seperti
kepesrtaan,kepesertaan
konfirmadike,konfirmasi
kmn,kemana
konsuling,konsultasi
konsul,konsultasi
kudu,harus
krtu ,kartu
ktunya,kartunya
komplen,keluhan
komplain,keluhan
kkmohon,kakak mohon
klw,kalau
kl,kalau
kerjo,kerja
kesehatansaat,kesehatan saat
kzl,kesal
labkes,
lads,
lagidrop,lagi drop
lamalama,lama-lama
laporin,laporkan
lg,lagi
lgi,lagi
lngsung,langsung
lngsng,langsung
lgsg,langsung
list,daftar
livin,mandiri
loh,
lsg,langsung
luemotnya,lelet
lo,
loginnya,masuk
loading,memuat
lwt,lewat
lwat,lewat
lho,
leeat,lewat
linkaja,link
laen,lain
liat,lihat
lbh,lebih
lock,kunci
locked,kunci
log,masuk
login,masuk
logintolong,masuk
logout,keluar
looping,ulang
lu,kamu
ma,
macem,macam
mah,
mail,email
makasih,terima kasih
makaudnya,maksudnya
make,pakai
malem,malam
males,malas
mampujadinya,mampu jadinya
manamana,mana
maneeeee,mana
mausaya,mau saya
maskuuu,mas
memory,memori
masmba,mas mbak
mastiin,pastikan
masukin,masukan
masyarakata,masyarakat
maapin,maaf
maybe,mungkin
mba,mbak
maintenance,pemeliharaan
mbalek,
mbok,
malamsaya,malam saya
mbolak,
mamah,mama
mamakota,mama kota
mcs,
melsy,
menithari,menit hari
meryta,
mesik,mesin
message,pesan
mimin,
min,
mindahin,pindahkan
mindeng,
minjkn,jkn
minsaya,saya
mjb,
meni,menit
mlas,malas
mmmm,
met,selamat
mesti,harus
mo,mau
mobilejkn,mobile jkn
monhon,mohon
month,bulan
middle,tengah
might,mungkin
moody,perasaan
milih,pilih
mimin,
mindah,pindah
minpadahal,padahal
mlalui,melalui
mobilebukan,mobile bukan
mobileyg,
mobileno,
mobilekrn,
mobiledll,mobile dan lain-lain
mrn,
monggo,silahkan
msih,masih
msh,masih
muhehehe,
muter,putar
mu,
mulu,terus
mutermuter,putar
naaah,
nambah,tambah
nanya,tanya
nana,
napa,kenapa
navbar,
ndak,tidak
nde,
nder,
nderr,
need,butuh
nderrr,
ndapapa,tidak apa-apa
neng,
nerusin,teruskan
negri,negeri
netep,tetap
ngaktifin,aktifkan
ngebela,bela
ngechat,kirim pesan
nek,
ngadu,adu
ngajak,ajak
ngak,tidak
ngalami,alami
ngambil,ambil
ngantri,antre
ngantrik,antre
ngatur,atur
