tweet;label;svm;nb
gunromli ganjarpranowo ganjariancom terus bokep;0;0;0
mediaindonesia jokowi mohmahfudmd psi id detikcom kompascom halang orang agama pdi juang ganjarpranowo langgar konstitusi pancasila urus wna bal;0;0;0
ch chotimah ganjarpranowo hahahahaha cennuull kocak saking kocak bego jurus fitnah hahahaha stres iki;0;0;0
atipsthahir ganjarpranowo sadis bang wkwkw lol;0;0;0
rudyfarthuack ndaxwz ganjarpranowo dennysiregar bukti prabowo berani banding anu nbukankah pidato jokowi;0;0;0
dhemit is back ganjarpranowo wilayah junjung zagzeg miduk wagimandeep dennysiregar;0;0;0
brewok gondrong pendulumsosial simbok dharmi yurissa samosir mdy asmara aniesbaswedan ganjarpranowo tampil rohani laku roh halus;0;0;0
dennysiregar gerindra mending ganjarpranowo suruh jual mega puan harun mas;0;0;0
ch chotimah ganjarpranowo asih tri negeri masuk lingkar rezim ch chotimah coba kao pikir logis ganjar prestasi minim;0;0;0
ganjarpranowo lihat video fullnya saran tri ganjar presidin helm fahri hamzah wisnu tama said iqbal;0;0;0
adityaayudii munir timur ganjarpranowo aniesbaswedan hoaks point;0;0;0
ganjarpranowo pdi juang oh urus jateng urus kayak begitu bun pengin urus negara;0;0;1
tita ganjarpranowo ganjarpranowo berita keluarga pilih orang;0;0;1
demit segoroo miduk mending ganjarpranowo tonton bokep santuy;0;0;0
ganjarpranowo ketawa lelucon;0;0;0
txtdrimedia lihat jalan miri golong sragen real off road jokowi ganjarpranowo sragenkab;0;0;0
ch chotimah ganjarpranowo ganjar anies bicara korupsi nbeda level ganjar citra urus;0;0;0
elfizaenny zul hasan ganjarpranowo lihat partaipan lihat zul hasan nyungsepp partaipan;0;0;0
rstmbcl ganjarpranowo gubernur ahli omong doang nato moga menjd contoh aniesbaswedan andisinulingga musniumar helmifelis yurissa samosir putrisakera bachrum achmadi ekowboy;0;0;0
ch chotimah miduk ganjarpranowo aniesbaswedan moga olah dukung dasar data kecuali sesat alam pikir nalar;0;0;0
ganjarpranowo kades suka main tik tok keluyur desa belah;0;0;1
ganjarpranowo jokowi pas zoom wajah orang sholat aneh salah lihat;0;0;1
kembar punk wagimandeep cocok ganjarpranowo gede;0;0;0
tita ganjarpranowo tinggal tunggu nasionalis kadrun maaf ganjar deh usang ganjar;0;0;1
tita ganjarpranowo fan prabowo narasi susah serang ganjar;0;0;0
tan mar ch chotimah ganjarpranowo aniesbaswedan ketemu majikan;0;0;0
setyosby dreamtuitter narasi winda ganjarpranowo taqiyah mulu njing;0;0;0
ganjarpranowo uban urus negara anis selesai;0;0;1
catadivina ganjarpranowo momen lupa;0;0;1
tan mar dennysiregar ganjarpranowo iki politik opo cok;0;0;0
ganjarpranowo mikir indonesia sampeyan periode gubernur jawa warga miskin anggur banjir jalan rusak mana urus;0;0;1
cutsarina ganjarpranowo bilang jogging kerja ketawa yuk;0;0;1
kayakuwek engelenproperty ganjarpranowo hary tanoe gempa kah jakarta kena nuklir covid jakarta omong lab covid deh;0;0;0
geloraco gizi urus jokowi nkalo dana baznas urus ganjeng ganjarpranowo;0;0;0
ariewid tita aniesbaswedan prabowo ganjarpranowo jejak digital;0;0;0
i isa aniesbaswedan ganjarpranowo halu kesana kemari cari dukung partai usung jual kiri kanan koalisi partai hengkang gigit jari lho resiko manusia haus kuasa;0;0;0
pendulumsosial simbok dharmi yurissa samosir mdy asmara aniesbaswedan ganjarpranowo hang sengsoro iro dewek nyalahaken kelendi iro kauw drun mbok darmi pilih ulihe ambike wakile pis hang salah pilih kauw iro drun pilih hing ulih paran ulihe loro ati mngko;0;0;0
poloduces ganjarpranowo pakistan diitung main football;0;0;0
sigmahalim munir timur ganjarpranowo salah lo denial lo terima ane sentil rangkai gilir detail bingung otong buzzer rangkai;0;0;0
dhemit is back ganjarpranowo monggo ganjarpranowo saget diintruksikan bupati dinas kait blusukan tinjau lokasi;0;0;1
anakkolong ganjarpranowo prabowo gibran tweet keras keras musik suka beliau undergound;0;0;1
yaniarsim ganjarpranowo xabong;0;0;0
nohceukenohh ch chotimah yurissa samosir ganjarpranowo wkwkwk coba lo post gua akak lihat bodoh lo;0;0;0
tita aniesbaswedan prabowo ganjarpranowo satu bacapres indonesia lanjur negara islam facto jure pelan kira;0;0;0
ajar filosofis ajar sunan drajat menehana teken marang kang wuto menehana mangan marang kang luwe menehana busana marang kang wudo menehana ngiyup marang kang kudap;0;0;0
cnnindonesia ganjarpranowo wakil prabowo;0;0;0
akuatikafaya ganjarpranowo aniesbaswedan aniesbaswedan pakai istilah asumsi langsung anies tudung perintah memframing hti fpi ormas radikal bicara mbak muter;0;0;0
pangestiwerda ganjarpranowo heran lihat baca berita kadrun bodoh darah daging;0;0;0
ch chotimah ganjarpranowo kau fitnah kau goreng hoax takut kalah bagai survey jagoankau unggul;0;0;0
restty cayah ganjarpranowo negeri pimpin orang suka leceh sual;0;0;0
ch chotimah ganjarpranowo disurvey puji gila ajak;0;0;0
kangngabei munir timur ganjarpranowo bingung tuduh nehh main twitter orang nimbrung pakai nsilakan followermu baca kobodohanmu bantu jelas;0;0;0
salah ganjar pranowo prabowo subianto anies baswedan airlangga hartarto;0;0;1
ganjarpranowo namung hokky rencang pripun staff latih latih mboten sios mirsani piala dunia sing embuh teh mergo nek sono tolak teh;0;0;0
ganjarpranowo moga kelak anak mjd anak sholeh sholehah taat agama suka bohong korup tonton;0;0;0
ganjarpranowo berdikari hutang berdikari beban beban hutang untung kagak ambyar iya;0;0;0
tjel ganjarpranowo pdi juang tiket gratis den;0;0;1
ganjar pranowo garis nasionalis anies baswedan kubu politik islam prabowo poros semuadukungprabowo manutjokowi prabowo subianto;0;0;1
polling podcast afu nsiapa calon presiden paham selesai prabowo subianto ganjar pranowo anies baswedan nberikan suara klik link;0;0;1
kayakuwek engelenproperty ganjarpranowo hary tanoe bambu mesum mutu lobang semut anti banjir;0;0;0
maaf pln tengah pln sapambakita ganjarpranowo bulan mati listrik musim hujan lho musim uji anak sekolah malam piyejal;0;0;0
ganjarpranowo media wkwkwkwk;0;0;0
florieliciouss prabowo anies ganjarpranowo niat nmau jatuh nmau cari salah nmau hina nmau numpang popularitas nmau bikin sensasi natau diskus sumbangsih solusi;0;0;0
nfaisal jokers oma rangga tweet joker wedoks jokervee dinararunika aniesbaswedan ganjarpranowo partaipan puanmaharani ri waaow;0;0;0
ch chotimah ganjarpranowo pimpin hancur rakyat indonesia chusnul suka tonton pro ganjar pimpin kayak ahlak iman;0;0;0
murtadhaonee ganjarpranowo cocokologi yohanies abud kambing;0;0;0
bradharizz aniesbaswedan ganjarpranowo yunartowijaya saifulmujani wkwkwkwkwk;0;0;0
bungkustukang naj ganjarpranowo nsi tukang nanyanya gagal ngarahin kena prof tjipta;0;0;0
ganjarpranowo rapopo pakne sing iling mulih;0;0;0
dennysiregar gerindra gue dukung jokowi usul duet prabowo jokowi ganjar gue pilih ganjarpranowo presiden indonesia gelagat jokowi lingkar kuasa;0;0;1
tumit ganjarpranowo cooling down lupa angkat nama ganjarpranowo maturnuwun lur;0;0;0
irwan divhumas polri ganjarpranowo lihat bendera bendera partai merah;0;0;1
ganjarpranowo prestasi jdnya citra mll jar jar;0;0;0
abdrohi roeslan restty cayah ganjarpranowo anis undang jamu makan tempat orang pakai uang orang mazzeeh nlubang hidung gede;0;0;0
ch chotimah ganjarpranowo pilih pimpin rekam jejak;0;0;1
ganjarpranowo suka tonton;0;0;0
dennysiregar gerindra gerindra rebut modus jati asli pansos haha pintar bijak pilih ganjarpranowo;0;0;1
ganjarpranowo terang sedih kecewa dukung;0;0;1
dhemit is back ganjarpranowo sampeyan bantu;0;0;0
ch chotimah ganjarpranowo narasi andal buzzerrp parnowo isis talib;0;0;0
dukung capres ganjarpranowo aniesbaswedan prabowo akur damai lebaran kampanye lantik pilih ridwankamil aniesbaswedan prabowo erickthohir ahy puanmaharani airlangga jokowi ganjarpranowo sandiagauno cakimin suryapaloh surabaya;0;0;0
ganjarpranowo berdikari hasil;0;0;1
ch chotimah ganjarpranowo aniesbaswedan gubernur minim prestasi jabat kampanye rakyat jateng biar bengkalai hadehh njar njar;0;0;0
ganjarpranowo elah pencintraan orang omong bohong tugas partai partai korupsi;0;0;0
hanifyahyaasya ganjarpranowo hary tanoe perindo laku;0;0;0
dhemit is back ganjarpranowo bang serius brebes daerah belah tebet kalideres;0;0;0
anakbaukencurr rahayunarlani nakula ganjarpranowo heru nheru nngumpulin hepeng doang;0;0;0
kangdede wulandarierian aniesbaswedan ganjarpranowo pksejahtera pdemokrat nasdem musniumar mdy asmara hukumdan orang bodoh beda black campaign fitnah negatif campaign fakta negatif;0;0;0
ch chotimah jokowi ganjarpranowo golput;0;0;0
gunromli ganjarpranowo jokowi ganjariancom moga kalimantan;0;0;1
geloraco miris ganjarpranowo pdi juang ch chotimah dennysiregar jokowi;0;0;0
moan hasto ganjarpranowo ch chotimah dennysiregar wayankoster gubernurbali komen entar dibully lebay;0;0;0
rstmbcl ganjarpranowo goreng dukung anies ganjar ambil uang baznas bangun rumah ndengar jelas;0;0;1
ganjarpranowo gubernur kang ridwankamil indak;0;0;0
ganjarpranowo borobudurmrthn jateng urus maih ikat sumpah janat gubernur urus jateng dolan nggenah;0;0;0
prestasi rekam jejak ganjarpranowo sulit kalah prabowo kali kalah dipromo poles apa berat sandera sejarah anies rekam jejak ngejual lawan berat ganjar capresnya politik jual agama;0;0;1
surabioncomamis sigiwarmada gar abdulrachimmks ganjarpranowo duduk sopan kayak adab;0;0;0
irwan divhumas polri ganjarpranowo tangan polisi tebus murah uang kumpul geng motor mending hukum warga langsung seret rumah dintandain mampus;0;0;0
jantungpiisang ganjarpranowo salah ganjar mas salah anies kasih tum fokus nanganin jateng sibuk safari jateng anies layak;0;0;1
saefudi tifsembiring jokowi ganjarpranowo jokowi caw penting bangsa negara proyek kereta cepat penting;0;0;1
duren aniesbaswedan ganjarpranowo prabowo gibran tweet bijak kang duren gua mah senang sumur kang sumur pantai kuta susu jemur wkwkwkw;0;0;0
miduk hasil survey publik nasionalis ganjarpranowo bela penting negara bunuh mimpi anak bangsa nyungsep klarifikasi apa salah fatal;0;0;1
ganjarpranowo ngonten mulu;0;0;0
lmaogpt sahip hidayat ganjarpranowo otak libur pantai;0;0;0
escudo trisnowidibagus nst ganjarpranowo orang periksa orang teriak kriminalisasi jegal calon anies lempar isu orang anies libat korupsi anies tameng koruptor anies periksa lebar mana kena mikir;0;0;0
allah moga jokowi dengar keluh bkngoid ppk ppk kemenkeu susipudjiastuti pusdiklatku kemenkeu ganjarpranowo aniesbaswedan mohmahfudmd kpk ri bkdatabase fpksdprri dpr ri ppk ppk kemenkeu cawecawe cawe hotel viral;0;0;0
dennysiregar gerindra pdi juang prabowo seyogyanya legowo cawapresnya ganjarpranowo waprespun abdi maksimal nusa bangsa pilih;0;0;1
evanhijratus ocongjuga dennysiregar prabowo cakiminow ganjarpranowo narasi basi;0;0;0
malam mimpi ganjarpranowo presiden;0;0;1
ch chotimah ganjarpranowo ngibulnya banget ngaspal ulang rehabilitasi prestasi tugas negara ngutip pajak rakyat cuk;0;0;0
caknan kangmanto ganjarpranowo deh bilang mas caknan ngelayani manto spend your energy kayak lol kon wkwkwk;0;0;0
