,tweet,label,prediksi
0,"yang bodoh tuh anda, tindakan nanti dong setelah jadi presiden, kalau sakarang ya baru menawarkan ide ide perubahan, masa gitu aja ga paham",0,negatif
1,"Rasisnya dimana, itu kan istilah negara di anime Jepang, setahuku Pak Anis sedang mencontohkan warga yg takut mengkritik shg perlu satire dg menyebutkan Konoha gak langsung sebut Indonesia",1,positif
2,"DP 0 rupiah andalah gabener, ber masalah...
peembelian alat pemadam gak da guna, padahal milyaran
JIS hutang pusat
masih percaya ocehannya???",1,positif
3,"Hei begundal,jangan watakmu yg suka ngibul itu kau sematkan kpd org lain.Apa memang itu ajaran leluhurmukah!!!",0,negatif
4,"Keren, sudah lihat videonya.!",1,positif
5,"Yaelah si @aniesbaswedan ngapain kampanye di basis pendukung (jakarta-depok) mending debatnya di basis pendukung lawan, kek jawa timur misalnya",0,negatif
6,Prabowo yg berkhianat sama pemilihnya..,2,neutral
7,"Duuuhhh...
Apa gk makin dijegal klo keq gini...???!!! 😬",0,negatif
8,anda buta atau dibutakan ? anies itu paling cerdas diantara capres yang lain masa gak paham,0,negatif
9,Kalo sekolah gratis knp angka anak putus sekolah tinggi ?,1,positif
10,"Semakin anies bicara panjang, semakin banyak kesalahan yang dia ucapkan. Apalagi masyarakat awam tidak tidak paham ucapan anies yang terlalu teknis.",1,positif
11,"Anies itu baik, cuma bohirnya bego smua
Nama @aniesbaswedan JADI JELEK, Miris",0,negatif
12,Pendukung hrs cerdas dan kritis kpd siapa pun capresnya.,1,positif
13,"Berarti anies baswedan gagal sebagai muslim, anaknya perempuan ga pake jilbab wkakakaak",0,negatif
14,"analisis gmn bang, makanya kalo di undang tuh kg usah ngeles ini itu, kalo 3 bacapres dateng kan bisa di analisis gagasan mana yang bagus untuk Indonesia 5 tahun mendatang",1,positif
15,"ya mungkin pak Anies menang di arena kampus,
tapi kita lihat saja nanti siapa yg menang di arena sembako,",1,positif
16,Maksudnya ini? https://t.co/TxzQnLA4bP,0,negatif
17,"3. Kalau mau revisi omnibuslaw apa saja? 
4. Berani tdk menghapus omnibuslaw dan keluar dari IMF 
5. Kalau ada rencana pandemi billgate dan WHO berani tolak tidak?  
 Terima kasih cc marketing anies @Mdy_Asmara1701",1,positif
18,"Electabilitas Ganjar pranowo, semakin jauh meninggalkan lawan lawannya. @aniesbaswedan semakin nyungsep tenggelam dalam sumur resapan kotorannya sendiri.😅",0,negatif
19,"Den, den, itukan kata lu, Anies Baswedan sengaja lu kalahkan iya kan...
agar yang masuk putaran kedua Prabowo vs Ganjar. Analisis gw, justeru Ganjar kalah pada putaran pertama. Pada putaran ke-2 Prabowo vs Anies, maka Prabowo kalah (44,55%), pemenangnya Anies Baswedan (55,55%).",2,neutral
20,"Beberapa waktu lalu, mantan Gubernur DKI Jakarta Anies Baswedan mengungkit penyebutan negara ini dengan nama “Konoha” dan “Wakanda” di media sosial (medsos). Mengapa warganet banyak menggunakan istilah-istilah tersebut?

https://t.co/TB3gOrHAE4",1,positif
21,hooh program yang pasti hadir menjelang pemilu supaya dibilang pro dunia pendidikan,1,positif
22,"Imigran yang tidak tahu diri apapun alasannya tidak layak dan tidak pantas menjabat apapun apalagi presiden ri,",1,positif
23,Kalau @SBYudhoyono sudah tahu cawapresnya @aniesbaswedan lalu @PDemokrat masih ada dalam koalisi. Sudah bisa ditebak bahwa Cawapresnya @aniesbaswedan itu @AgusYudhoyono.,0,negatif
24,"dari para calon ga ada tuh yg ngusung syariah Islam, masih mau miilih?",0,negatif
25,"Organisasi pendukung Anies Baswedan, Sekretariat Kolaborasi Indonesia (SKI) l menyambut baik kegiatan Pelatihan Paralegal Perubahan.
 Kegiatan itu dianggap untuk mencegah dan mengantisipasi kecurangan serta pelanggaran dalam Pemilu 2024. (Ld)

https://t.co/DTpVomGqPs",1,positif
26,"😂🤣👆 @aniesbaswedan
KALAU ga bisa kerja
Ya ONANI KATA 
SETIAP harinya",0,negatif
27,"@univ_indonesia Coba kalian tanya ke @aniesbaswedan 
1. Apakah kalau anda jadi presiden agama yg menyimpang dan  pengacau di indonesia akan ditumpas? Seperti yahudi syiah JIL al zaytun dkk!  
2. Apakah anies anggota WEF akan meneruskan program NWO ?...",1,positif
28,Makanya disimak lagi videonya pak,0,negatif
29,Cebong yg lahir dri gorong2 otak kosong percaya dgn presiden pemboong yg dri awal kampanye Esemka bodong janji2 omong kosong bisa jadi no1 Esemka palsu janji palsu yg konon ijazahpun palsu !,0,negatif
30,Bener bener gak masuk hitungan ya pak @aniesbaswedan ...,0,negatif
31,"Kedepan yg jadi presiden harus yg pernah berbuat tanpa pamrih pd bangsa dr pegiat:
-Lingkungan
-Pendidikan
-Kesehatan
-Keadilan
-Ekonomi kerakyatan

Relawan bencana

Spy pendukungnya logis bicara fakta.
Tdk sperti skrg ini NGAWUR, BRUTAL, JOROK, tak peduli kecerdasan bangsa.",1,positif
32,Yoi. Plus serangan dunia tiktok,1,positif
33,"@aniesbaswedan 👆
BERHARAP ya gimana",0,negatif
34,Jgn2 kau tak tau gubernur dki skrg.. Wkwkwk,0,negatif
35,Masyaa Allah pak anies … pemimpin yg punya empati yg  mau merasakan rakyatnya disaat sudah dan senang .. sy baru tahu ada pemimpin yg tidak egois sepeti ini,1,positif
36,ketelan apa si hingga sampai buta mata dan hati yaaa wkwkwk,1,positif
37,"@aniesbaswedan percaya diri berhadapan dgn rakyat ?
Kalau kita melihat rekam jejaknya saat jadi gubernur.
Jelas itu bohong !
Bagaimana dia percaya diri pada rakyat, open house di Balaikota saja jaman @aniesbaswedan ditutup ?
Jgn suka memelihara kebohongan bro !
Rakyat ga bodoh !",0,negatif
38,Gitu kok berani nyapres,0,negatif
39,"Ketua Majelis Tinggi Partai Demokrat Susilo Bambang Yudhoyono (SBY) tahu nama calon wakil presiden (cawapres) pendamping Anies Baswedan di Pilpres 2024.
https://t.co/It5ThqPCTu",0,negatif
40,Usah cak @cakimiNOW gabung aja ke koalisi perubahan @aniesbaswedan,0,negatif
41,"Terserah mau lu aja, Den, biar lu senang. Gw yakin aja Ganjar kalah pada putaran pertama. Dan yang masuk putaran kedua adalah Prabowo vs Anies Baswedan, dan pemenang pada putaran kedua adalah Anies Baswedan dengan meraih suara 55,55% sedangkan Prabowo dengan meraih suara 44,55%.",2,neutral
42,Warga Indonesia bossss,1,positif
43,"🤣😂👇
U duluan yg di culik
KA u buzzer @aniesbaswedan 
Hianati PRABOWO",0,negatif
44,"Setuju...
Rekam jejak kepedulian

Kalo capres kamu punya, dn lebih baik, langsung sy balik dukung capres kamu

Masih yakin #AniesPresidenRI2024  indonesia sejahtera adil makmur 

@aniesbaswedan 
@sobat_anies
@san_jateng 
@anies",1,positif
45,Mksudnya lanjutkan KPK yg dikerdilkan jkw? Yg menjadikan ngra koruptor merajalela! Menjadikan KKN menggila! Apakh akan dilahirkan lagi presiden pemboong?! Ingat skrglah IQ anak bgsa paling rendah satu level diatas Timor Leste!satu2nya presiden lahir dri Esemka bodong janji kosong,1,positif
46,"Keren...
Melihat rekaman videonya ketika mahasiswa menyampaikan pertanyaan kritis, pak Anies Baswedan menjawab dgn lugas dan cerdas",1,positif
47,"Silahknlah Megawati kau mau bicara apa..dgn sgala keinginn kau itu
Up to you..Sakkarepmulah
Bebas kok
Tp sy hny peduli satu hal sj yaitu
ANIES BASWEDAN,insyaAllah jd Presiden di 2024
Sbb Anies dgn sgala Kehebatanny menjadi lbh hebat lg krn Anies TIDAK PENYUKA NONTON FILM PORNO",0,negatif
48,Demokrat Yakin Anies Baswedan Tak Deklarasikan Bacawapres pada Detik-detik Terakhir https://t.co/BfIZng5OoH,0,negatif
49,2 periode keluargaku mendukung pak Prabowo. Tapi utk 2024 ada yg jauh lebih yaitu pak @aniesbaswedan,2,neutral
50,"Hutan Monas saat di bantai @aniesbaswedan  saat jd gabener , TDK di tanam lagi yaaaa",0,negatif
51,mari mulai dr mantan gubernur dki,0,negatif
52,"Klo di china, korea utara akan dipenggal kepalanya, klo di rusia penghianat bangsa akan di rudal dg S300 sampai jadi abu seperti bos wagner",0,negatif
53,"Bacapres gue nih !!
@aniesbaswedan 
Semoga sehat selalu pak !!",1,positif
54,"Mantap pak Anies Baswedan koruptor jgn di kasih bernafas di republik Indonesia ini.
Wajib seluruh hartanya di jadikan milik Indonesia.
Jika mrka tidak ada hati korupsi uang rakyat.
Maka negara harus tidak ada hati untuk buat mrka miskin semiskin miskinnya",1,positif
55,Justru gusti Alloh sudah menentukan siapa yg jd presiden tentunya bkn anis,0,negatif
56,"Demokrat: SBY Sudah Tahu Nama Cawapres Anies Baswedan.

Ya tau lah, goblok ini yg buat artikel. SBY pasti tau orang yang punya anak dan kasih nama SBY sendiri sebagai bapaknya.",1,positif
57,@aniesbaswedan saat anda jadi Gub DKI - apa yang anda buat ?,0,negatif
58,"Ketua"" partai KPP sudah mengetahui sosok Bacawapres pak Anies Baswedan termasuk pak SBY....

https://t.co/indhjKd37Q",1,positif
59,"Betul, KONSISTEN NGIBULNYA ☕️",0,negatif
60,Demokrat: SBY Sudah Tahu Nama Cawapres Anies Baswedan https://t.co/4Uu3psfKTT,2,neutral
61,"WTP syarat nya hrs hrs kelebihan bayar, wtp tggl beli sama oknum",0,negatif
62,Ketemu sama mas anies aja mas biar kamu kritik habis habisan,1,positif
63,"Lawak basii, update lgi kl pnya kuota, bgni sj brta yg lu ss thn 2021, kl pa anies krupsi kgak mgkin dbiarin, lu kra org2 bpkp, bpk atw aph lain nya stolol itu ??!!! 😂",1,positif
